pages,publication,dow,week,year,adverts,volume
48,HL,4,32,2023,4,59
8,HHE PROP,4,31,2023,4,1435
56,DNP,4,32,2023,83,4369
56,WHH,3,33,2023,4,215
16,ARG AGS,6,33,2023,1,287
8,ARG AMS,5,33,2023,3,89
8,ARG AGNS,1,33,2023,1,287
48,ASH,3,32,2023,39,1384
40,CCH,3,32,2023,23,1357
64,TIME,4,33,2023,63,3852
48,CIN,3,32,2023,50,2761
64,GH,3,33,2023,50,4758
80,GL,3,33,2023,155,9344
72,WRG,4,33,2023,95,4748
40,SAM,4,33,2023,75,4033
56,MCG,4,33,2023,76,2936
64,BUT,4,33,2023,77,4113
48,LEJ,4,33,2023,74,4690
48,KNG,4,33,2023,63,3498
64,BFP,5,33,2023,67,5364
40,SLO,5,33,2023,41,3798
64,REC,4,33,2023,56,3839
40,BKN,3,33,2023,46,3691
40,ARG,6,33,2023,26,2324
40,ARG,5,33,2023,44,3007
40,ARG,4,33,2023,34,2286
32,ARG,3,33,2023,32,2100
32,ARG,2,33,2023,32,2228
32,ARG,1,33,2023,28,1914
40,PEN,4,33,2023,33,2661
40,BAR,4,33,2023,29,2289
32,AYA,2,32,2023,19,1403
56,BWD,5,32,2023,2,108
56,RORF,5,32,2023,2,108
4,NRC WRAP,3,32,2023,4,1103
4,BKT WRAP,4,32,2023,4,1103
48,LMW,3,33,2023,23,1510
48,LMW,3,32,2023,22,1440
8,LOW LOJSUP0,5,31,2023,13,1444
40,DOR,5,32,2023,83,3950
40,BDE,5,32,2023,160,4854
32,BDE,2,32,2023,98,2960
40,TNA,2,34,2023,7,1076
32,DOR,2,32,2023,69,2111
40,BDE,4,32,2023,128,4553
40,BDE,3,32,2023,140,3470
40,TNA,1,34,2023,9,1234
44,SWA,5,33,2023,59,3974
32,SWA,1,33,2023,41,3040
80,SHE,0,31,2023,6,1002
8,ROC ROYCROW,4,31,2023,5,1435
40,TNA,6,33,2023,7,1274
40,TNA,5,33,2023,11,1288
40,TNA,4,33,2023,8,1106
40,TNA,3,33,2023,7,1076
40,TNA,2,33,2023,7,1076
40,TNA,1,33,2023,9,1234
28,HER,6,32,2023,19,1931
24,HER,5,32,2023,26,2267
24,HER,4,32,2023,23,2464
24,HER,3,32,2023,25,2175
24,HER,2,32,2023,20,2347
24,HER,1,32,2023,22,2386
40,ETI,6,32,2023,20,1232
16,EST ESTSUP,5,32,2023,7,848
40,ETI,5,32,2023,26,1336
40,ETI,4,32,2023,28,1844
40,ETI,3,32,2023,28,2361
40,ETI,2,32,2023,25,1503
40,ETI,1,32,2023,21,1070
8,ARG PROP,3,31,2023,1,288
8,DOR DESP,5,31,2023,6,968
40,TNA,6,32,2023,6,987
40,TNA,5,32,2023,8,1047
40,TNA,4,32,2023,10,1536
40,TNA,3,32,2023,6,987
40,TNA,2,32,2023,7,1076
40,TNA,1,32,2023,7,779
40,EST,5,33,2023,45,2557
40,EST,4,33,2023,41,2061
32,EST,3,33,2023,31,1750
32,EST,2,33,2023,37,2224
32,EST,1,33,2023,38,2229
56,EDT,6,33,2023,64,3621
56,EDT,5,33,2023,63,3286
44,EDT,4,33,2023,51,2066
48,EDT,3,33,2023,51,2479
48,EDT,2,33,2023,45,1888
40,EDT,1,33,2023,44,2111
24,SWR,4,33,2023,36,2514
32,DUN,4,33,2023,49,4026
40,COM,4,33,2023,85,4633
40,WHT,3,33,2023,47,2187
24,ROC,4,33,2023,48,2679
32,HAD,4,33,2023,48,3115
56,HHE,4,33,2023,46,2782
56,RRC,5,33,2023,77,4834
32,BDP,3,33,2023,56,3273
24,BKT,4,33,2023,46,2956
24,ELA,4,33,2023,35,2713
28,NRC,3,33,2023,38,2754
32,ILF,4,33,2023,49,3353
32,IGZ,4,33,2023,37,2915
32,GRT,6,32,2023,19,1052
32,GRT,5,32,2023,29,1405
32,GRT,4,32,2023,31,1509
32,GRT,3,32,2023,32,1239
32,GRT,2,32,2023,29,1366
32,GRT,1,32,2023,26,1055
40,HLA,4,32,2023,29,1454
40,ALA,3,32,2023,46,2012
40,NEWS,6,33,2023,30,2837
40,NEWS,5,33,2023,34,2811
40,NEWS,4,33,2023,31,2600
40,NEWS,3,33,2023,28,2134
40,NEWS,2,33,2023,29,2132
40,NEWS,1,33,2023,30,2315
64,TMAI,6,33,2023,26,2551
40,TMAI,5,33,2023,35,2514
40,TMAI,4,33,2023,31,2635
40,TMAI,3,33,2023,28,2297
40,TMAI,2,33,2023,28,2132
40,TMAI,1,33,2023,29,2167
56,BWM,2,32,2023,85,4439
56,NE,6,33,2023,57,3700
48,NE,5,33,2023,51,3835
48,NE,4,33,2023,59,3032
48,NE,3,33,2023,59,2878
48,NE,2,33,2023,43,2178
48,NE,1,33,2023,38,1960
64,DU,4,33,2023,54,4503
80,DS,5,33,2023,83,5657
56,BNE,6,33,2023,49,3058
40,BNE,5,33,2023,62,3117
40,BNE,4,33,2023,60,2686
40,BNE,3,33,2023,55,2402
40,BNE,2,33,2023,63,2719
40,BNE,1,33,2023,54,2448
64,OLT,4,33,2023,46,3046
56,LTE,6,33,2023,48,3169
40,LTE,5,33,2023,56,3456
40,LTE,4,33,2023,54,2983
40,LTE,3,33,2023,44,2474
40,LTE,2,33,2023,45,2477
40,LTE,1,33,2023,46,2482
32,BRA,6,33,2023,29,2349
48,BRA,5,33,2023,46,2938
48,BRA,4,33,2023,43,2654
40,BRA,3,33,2023,33,2335
40,BRA,2,33,2023,37,2013
48,BRA,1,33,2023,34,2571
56,CEG,5,33,2023,41,3636
40,CEG,4,33,2023,33,2718
32,CEG,3,33,2023,26,1839
32,CEG,2,33,2023,33,1937
32,CEG,1,33,2023,27,1544
64,BEC,5,33,2023,96,5311
48,BEC,4,33,2023,87,4888
40,BEC,3,33,2023,73,3133
40,BEC,2,33,2023,199,2956
40,BEC,1,33,2023,64,2729
56,OBCA,3,33,2023,72,4134
48,TLE,5,33,2023,60,3277
40,TLE,4,33,2023,65,4695
40,TLE,3,33,2023,56,2828
40,TLE,2,33,2023,51,2340
40,TLE,1,33,2023,47,1989
40,WN,6,33,2023,42,3006
40,WN,5,33,2023,48,3279
40,WN,4,33,2023,47,3298
32,WN,3,33,2023,40,3007
32,WN,2,33,2023,37,2019
32,WN,1,33,2023,32,1928
84,WGH,4,33,2023,83,7555
76,WIT,5,33,2023,76,7026
40,WIG,3,33,2023,49,4618
80,OXT,4,33,2023,63,6686
48,OHS,3,33,2023,46,6137
32,BIA,4,33,2023,38,4567
40,OXM,6,33,2023,23,2528
40,OXM,5,33,2023,37,4306
32,OXM,4,33,2023,37,3377
32,OXM,3,33,2023,29,2287
32,OXM,2,33,2023,30,2714
32,OXM,1,33,2023,24,1961
56,SDE,6,33,2023,77,3590
40,SDE,5,33,2023,96,4145
40,SDE,4,33,2023,80,4393
40,SDE,3,33,2023,110,3897
32,SDE,2,33,2023,69,3159
40,SDE,1,33,2023,92,3964
24,SWW,4,32,2023,84,4384
64,SAJ,4,32,2023,121,6847
48,BRI,4,32,2023,70,5170
40,DOR,4,32,2023,81,4415
64,BDE,6,32,2023,131,5317
40,BDE,1,32,2023,134,3583
4,TSF WRAP,6,31,2023,9,991
52,TSF,6,31,2023,85,3296
4,NF WRAP,5,32,2023,5,599
52,NF,5,32,2023,67,4559
4,WGG WRAP,4,31,2023,4,1103
32,BRDO,3,32,2023,1,36
32,LAT,4,32,2023,1,44
40,EJL,3,33,2023,52,2888
32,GUA,3,33,2023,34,2720
8,WTM WTMSUPP1,3,32,2023,8,2296
32,EDP EDPSW,6,33,2023,7,951
16,WTM WTTV,3,32,2023,1,287
76,CAS,1,32,2023,64,5503
32,EEN,6,33,2023,33,2167
72,EDP,6,33,2023,140,8248
40,EEN,5,33,2023,36,2472
72,EDP,5,33,2023,98,4857
40,EEN,4,33,2023,32,2439
56,EDP,4,33,2023,62,2585
8,EDP EDPBS,3,33,2023,3,429
32,EEN,3,33,2023,26,1882
48,EDP,3,33,2023,51,2385
32,EEN,2,33,2023,26,2210
56,EDP,2,33,2023,51,2704
8,EDT EDTB,3,32,2023,2,376
28,EEN,1,33,2023,25,1787
44,EDP,1,33,2023,42,2277
40,PPE,3,33,2023,13,906
40,PMT,3,33,2023,32,2087
4,HKG WRAP,4,31,2023,4,1103
4,IGZ WRAP,4,31,2023,4,1103
4,SWA WRAP,6,32,2023,4,1049
56,LOW,5,32,2023,98,3354
64,GYM,5,32,2023,96,3507
16,HCL,5,32,2023,33,1031
32,HMS,5,32,2023,37,2801
56,ECS,5,32,2023,54,3622
8,CTI CTSP,5,31,2023,3,861
4,BJ WRAP,4,33,2023,4,1103
8,SCG SCGS,4,31,2023,13,1273
4,OXM WRAP,6,31,2023,4,1049
64,HMA,6,31,2023,14,1358
24,EDP PROP,5,30,2023,11,2593
8,GYM GYMSUP0,5,31,2023,13,1444
64,HE,3,32,2023,1,45
8,SAJ SJSP1,4,31,2023,8,872
8,SAJ SJSP,4,31,2023,3,494
48,NNN,4,32,2023,33,3319
40,ELY,4,32,2023,39,4029
56,SOM,4,32,2023,99,4803
44,SWL,4,32,2023,119,5989
80,IOW,5,32,2023,162,7047
32,BBT,4,32,2023,137,5366
56,WAO,5,32,2023,109,4671
40,BWT,4,32,2023,64,3375
48,CFG,4,32,2023,58,3620
16,BDE BMESUP0,6,31,2023,16,1191
40,WSW,4,31,2023,15,1534
40,RSW,4,31,2023,11,1411
40,ESW,4,31,2023,16,905
72,SHS,4,33,2023,137,7516
32,BRDO,3,31,2023,1,36
16,TA TASP,4,31,2023,19,2768
8,IOW IOWS1,5,31,2023,8,780
8,IOW IOWS,5,31,2023,10,1277
40,EJC,4,33,2023,2,88
64,HE,3,31,2023,1,45
48,SXWO,4,31,2023,2,331
12,EDT PROP,4,30,2023,11,2052
48,DFT,4,32,2023,31,2879
48,BBJ,5,32,2023,53,3354
48,MG,5,33,2023,65,4239
40,EJ,4,33,2023,82,5004
32,SN,4,33,2023,84,3874
32,HN,4,33,2023,72,3296
36,BJ,4,33,2023,48,3557
4,WO WRAP,4,31,2023,4,1094
4,IG WRAP,4,31,2023,4,1094
40,EJC,4,32,2023,1,44
40,BWTH,4,31,2023,7,881
48,HL,4,31,2023,4,90
40,BWTM,4,31,2023,8,1141
40,NHC,4,31,2023,1,44
48,HPT,3,32,2023,91,5613
40,WTI,3,32,2023,96,4188
40,PBL,5,31,2023,44,1521
48,ELC,4,31,2023,71,2273
32,CFT,4,31,2023,56,3642
40,BOR,3,31,2023,35,1484
64,FPP,3,32,2023,39,2911
88,SCG,4,31,2023,122,5684
64,TP,6,32,2023,34,1778
40,TP,5,32,2023,35,2017
40,TP,4,32,2023,33,2028
40,TP,3,32,2023,37,1837
40,TP,2,32,2023,37,2087
40,TP,1,32,2023,31,2278
64,TA,6,32,2023,36,1931
40,TA,5,32,2023,44,2130
40,TA,4,32,2023,55,2942
40,TA,3,32,2023,39,1773
40,TA,2,32,2023,43,2179
40,TA,1,32,2023,38,1866
64,KN,4,32,2023,55,2906
64,IG,4,32,2023,46,2516
64,CH,4,32,2023,54,3140
96,WGZ,4,32,2023,112,8817
40,BRN,3,32,2023,136,5477
24,HAT,4,32,2023,87,4156
48,YLG,4,32,2023,52,3107
48,EFG,4,32,2023,47,3662
32,ENI,3,32,2023,107,6556
24,THG,4,32,2023,81,3182
72,CTI,5,32,2023,84,6207
56,WGG,4,32,2023,52,3891
56,SNJ,3,32,2023,58,3346
56,GAZ,4,32,2023,61,4101
48,MG,5,32,2023,68,3487
40,EJ,4,32,2023,81,5899
32,BJ,4,32,2023,52,4926
32,SN,4,32,2023,91,4727
32,RA,3,32,2023,70,3712
40,TS,4,32,2023,89,4252
32,HN,4,32,2023,74,3730
32,BR,3,32,2023,77,4348
32,LA,4,32,2023,41,2723
80,HT,4,32,2023,187,12927
48,ROM,5,32,2023,96,4352
64,HAM,4,32,2023,115,5469
64,BAG,4,32,2023,115,6721
48,AAD,5,32,2023,90,4628
64,WTM,3,32,2023,51,3673
40,BEXE,3,31,2023,5,774
56,BUED,2,31,2023,3,64
8,HHE PROP,4,30,2023,6,1721
104,TCN,5,33,2023,106,5738
16,RJO RJSP,3,33,2023,9,1159
72,HEX,4,33,2023,90,5621
4,SDE WRAP,3,30,2023,4,1103
64,DEFP,3,33,2023,7,569
64,NWPI,3,33,2023,6,525
64,RJO,3,33,2023,120,6799
104,TCN,5,32,2023,98,6858
72,HEX,4,32,2023,75,4202
64,DEFP,3,32,2023,6,525
64,NWPI,3,32,2023,6,525
64,TWN,3,32,2023,65,3699
8,SWA SASP,5,30,2023,8,1016
48,EPED,4,32,2023,8,931
48,CRS,4,32,2023,85,4936
8,SCG SCG1,4,30,2023,6,605
